bugFixingId;bugFixingTs;bugFixingFileChanged;bugInducingId;bugInducingTs;bugFixingCommitMessage;note
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/coord/CoordJobXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/coord/CoordMaterializeTransitionXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/coord/CoordSubmitXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/coord/SLAEventsXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/sla/SLAJobHistoryXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/wf/ActionStartXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/wf/ActionXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/wf/BulkWorkflowXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/wf/ReRunXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/wf/SubmitXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/wf/SuspendXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/wf/WorkflowXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/coord/CoordELEvaluator.java;5045f89cf1042721b9f7fd8b070390b8e0afef7e;2014-04-02T01:14:59+0000;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/coord/CoordELFunctions.java;24fedae651b26b0f5fb980e96f26ae39fc92e89f;2013-03-05T22:47:36+0000;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/coord/CoordUtils.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/coord/HCatELFunctions.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/coord/input/logic/CoordInputLogicEvaluatorUtil.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/dependency/DependencyChecker.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/dependency/URIHandler.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/event/EventQueue.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/event/listener/JobEventListener.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/BinaryBlobValueHandler.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/BundleJobsDeleteJPAExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/CoordActionRemoveJPAExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/CoordActionsDeleteJPAExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/CoordJobsDeleteJPAExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/CoordJobsToBeMaterializedJPAExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/StringBlobValueHandler.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/WorkflowActionDeleteJPAExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/WorkflowActionRetryManualGetJPAExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/WorkflowActionSubsetGetJPAExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/WorkflowInfoWithActionsSubsetGetJPAExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/WorkflowJobsDeleteJPAExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/executor/jpa/WorkflowsJobGetJPAExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/jms/ConnectionContext.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/jms/JMSExceptionListener.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/local/LocalOozie.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/AuthorizationService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/CallableQueueService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/HadoopAccessorService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/JMSTopicService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/JPAService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/MetricsInstrumentationService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/ProxyUserService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/SLAStoreService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/SchedulerService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/SchemaService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/Services.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/StoreService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/URIHandlerService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/WorkflowAppService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/WorkflowStoreService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/service/XLogService.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/servlet/BaseAdminServlet.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/servlet/BaseJobServlet.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/servlet/BaseJobsServlet.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/servlet/V0JobsServlet.java;a9b3c7bb4bb88db71692d5a4f3d698796de30dba;2015-03-16T17:56:16+0000;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/servlet/V1AdminServlet.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/servlet/V1JobServlet.java;d522e0c8bb88510e3bc20cb2927f170545bf87bf;2011-09-02T00:36:23+0000;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/servlet/V1JobsServlet.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/servlet/V2JobServlet.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/sla/SLACalcStatus.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/sla/SLACalculator.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/sla/SLAOperations.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/sla/listener/SLAEventListener.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/store/OozieSchema.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/store/SLAStore.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/store/Store.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/store/WorkflowStore.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/util/BufferDrainer.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/util/ConfigUtils.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
